Seconds (synced)	Acc x	Acc y	Acc z
6.741632	-71.140625	-41.269531	1008.738281
6.749651	-71.285156	-41.359375	1008.648438
6.75767	-71.320312	-41.324219	1008.949219
6.765689	-71.292969	-41.316406	1009.136719
6.773708	-71.25	-41.210938	1008.839844
6.781727	-71.089844	-41.304688	1008.734375
6.789746	-71.410156	-41.246094	1009.011719
6.797765	-71.210938	-41.261719	1009.054687
6.805784	-71.210938	-41.167969	1009.078125
6.813803	-71.109375	-41.242188	1009.101562
6.821822	-71.128906	-41.261719	1009.199219
6.829841	-71.371094	-41.417969	1009.070312
6.83786	-71.242188	-41.367188	1008.789062
6.845879	-71.167969	-41.363281	1008.769531
6.853898	-71.230469	-41.460938	1008.929688
6.861917	-71.417969	-41.417969	1008.921875
6.869936	-71.128906	-41.226562	1008.578125
6.877955	-71.164062	-41.347656	1008.710938
6.885974	-71.371094	-41.195312	1008.734375
6.893993	-71.179688	-41.382812	1008.359375
6.902012	-71.128906	-41.472656	1008.722656
6.910031	-71.148438	-41.269531	1008.9375
6.91805	-71.15625	-41.171875	1008.96875
6.926069	-70.941406	-41.132812	1009.035156
6.934088	-71.019531	-41.300781	1008.871094
6.942107	-71.109375	-41.222656	1008.761719
6.950126	-71.15625	-41.371094	1008.808594
6.958145	-71.3125	-41.289062	1008.867187
6.966164	-71.25	-41.277344	1008.828125
6.974183	-71.253906	-41.132812	1008.863281
6.982202	-71.410156	-41.15625	1008.964844
6.990221	-71.386719	-41.296875	1009.207031
6.99824	-71.464844	-41.121094	1008.921875
7.006234	-71.363281	-41.246094	1008.851563
7.014253	-71.140625	-41.207031	1008.816406
7.022272	-71.28125	-41.324219	1008.839844
7.030291	-71.4375	-41.121094	1008.699219
7.03831	-71.320312	-41.101562	1008.789062
7.046329	-71.351562	-40.917969	1008.757813
7.054348	-71.316406	-41.144531	1008.796875
7.062367	-71.25	-41.125	1009.121094
7.070386	-71.320312	-41.160156	1008.941406
7.078405	-71.140625	-41.308594	1008.914062
7.086424	-71.148438	-41.117188	1009.035156
7.094443	-71.246094	-41.113281	1009.1875
7.102462	-71.214844	-41.203125	1009.316406
7.110481	-71.179688	-41.105469	1009.199219
7.1185	-71.0625	-41.179688	1008.976562
7.126519	-71.160156	-41.1875	1008.933594
7.134538	-71.167969	-41.277344	1008.949219
7.142557	-71.0	-41.171875	1008.875
7.150576	-71.003906	-41.167969	1008.894531
7.158595	-71.144531	-41.210938	1008.796875
7.166614	-71.140625	-41.160156	1008.882812
7.174633	-71.304688	-41.390625	1008.769531
7.182652	-71.359375	-41.265625	1008.976562
7.190671	-71.277344	-41.347656	1009.136719
7.19869	-71.308594	-41.339844	1008.941406
7.206709	-71.207031	-41.195312	1009.125
7.214728	-71.175781	-41.34375	1009.148437
7.222747	-71.203125	-41.425781	1008.867187
7.230766	-71.226562	-41.300781	1008.855469
7.238785	-71.113281	-41.269531	1008.960937
7.246804	-71.292969	-41.257812	1008.9375
7.254823	-71.285156	-41.253906	1009.101562
7.262842	-71.214844	-41.265625	1009.046875
7.270861	-71.203125	-41.359375	1009.042969
7.27888	-71.234375	-41.144531	1008.796875
7.286899	-71.335938	-41.15625	1008.699219
7.294918	-71.171875	-41.335938	1008.660156
7.302937	-71.175781	-41.304688	1009.054687
7.310956	-71.394531	-41.414062	1008.828125
7.318975	-71.210938	-41.226562	1008.585937
7.326994	-71.324219	-41.289062	1008.761719
7.335013	-71.050781	-41.109375	1008.46875
7.343032	-71.195312	-41.265625	1008.722656
7.351051	-71.148438	-41.304688	1009.113281
7.35907	-71.246094	-41.140625	1008.96875
7.367089	-71.191406	-41.152344	1008.984375
7.375108	-71.167969	-41.277344	1009.101562
7.383127	-71.074219	-41.242188	1009.285156
7.391146	-71.121094	-41.167969	1008.902344
7.399165	-71.230469	-41.3125	1008.78125
7.407184	-71.230469	-41.359375	1009.070312
7.415203	-71.046875	-41.261719	1008.796875
7.423222	-71.113281	-41.136719	1008.992188
7.431241	-71.171875	-41.234375	1009.089844
7.43926	-71.09375	-41.144531	1009.03125
7.447279	-71.105469	-41.140625	1008.808594
7.455298	-71.1875	-41.351562	1008.757813
7.463317	-71.101562	-41.050781	1009.078125
7.471336	-71.132812	-41.195312	1008.917969
7.479355	-71.234375	-41.351562	1008.9375
7.487374	-71.328125	-41.230469	1008.945313
7.495393	-71.273438	-41.0	1009.023438
7.503412	-71.277344	-41.074219	1009.046875
7.511431	-71.386719	-41.15625	1009.25
7.51945	-71.28125	-41.132812	1009.128906
7.527469	-71.210938	-41.15625	1009.085938
7.535488	-71.300781	-41.230469	1009.019531
7.543507	-71.140625	-41.242188	1008.964844
7.551526	-71.105469	-41.1875	1008.71875
7.559545	-71.332031	-41.25	1008.871094
7.567564	-71.304688	-41.367188	1008.851563
7.575583	-71.21875	-41.394531	1008.585937
