Date	Time	Acc x	Acc y	Acc z
27/03/2024	14:24:06.019110	72.656250	-96.867188	49.117188
27/03/2024	14:24:06.027129	72.914062	-96.867188	49.355469
27/03/2024	14:24:06.035148	72.855469	-96.332031	49.554688
27/03/2024	14:24:06.043167	72.871094	-96.531250	49.503906
27/03/2024	14:24:06.051186	73.468750	-96.902344	49.390625
27/03/2024	14:24:06.059205	73.550781	-96.460938	49.628906
27/03/2024	14:24:06.067224	73.199219	-96.300781	49.562500
27/03/2024	14:24:06.075243	73.359375	-96.781250	49.222656
27/03/2024	14:24:06.083262	72.527344	-96.707031	49.296875
27/03/2024	14:24:06.091281	73.316406	-96.671875	49.101562
27/03/2024	14:24:06.099300	72.703125	-97.242188	48.855469
27/03/2024	14:24:06.107319	72.746094	-96.589844	49.332031
27/03/2024	14:24:06.115338	72.472656	-96.382812	49.382812
27/03/2024	14:24:06.123357	72.820312	-96.035156	49.636719
27/03/2024	14:24:06.131376	73.152344	-95.816406	49.875000
27/03/2024	14:24:06.139395	72.804688	-96.445312	49.519531
27/03/2024	14:24:06.147414	72.839844	-96.722656	49.421875
27/03/2024	14:24:06.155433	72.617188	-95.933594	49.500000
27/03/2024	14:24:06.163452	72.679688	-96.140625	49.476562
27/03/2024	14:24:06.171471	72.429688	-96.507812	49.433594
27/03/2024	14:24:06.179490	72.535156	-96.558594	49.101562
27/03/2024	14:24:06.187509	73.015625	-96.371094	49.464844
27/03/2024	14:24:06.195528	73.378906	-96.316406	49.339844
27/03/2024	14:24:06.203547	72.992188	-96.429688	49.316406
27/03/2024	14:24:06.211566	72.726562	-96.296875	49.472656
27/03/2024	14:24:06.219585	72.730469	-96.406250	49.152344
27/03/2024	14:24:06.227604	72.554688	-95.902344	49.402344
27/03/2024	14:24:06.235623	73.183594	-96.031250	49.535156
27/03/2024	14:24:06.243642	73.859375	-96.296875	49.316406
27/03/2024	14:24:06.251661	73.066406	-96.167969	49.304688
27/03/2024	14:24:06.259680	72.679688	-97.023438	48.859375
27/03/2024	14:24:06.267699	72.648438	-97.003906	49.312500
