Date	Time	Acc x	Acc y	Acc z
30/04/2024	19:57:13.868107	-0.007027	0.014086	1.003402
30/04/2024	19:57:13.876084	-0.006781	0.014055	1.003648
30/04/2024	19:57:13.884061	-0.006824	0.014109	1.003719
30/04/2024	19:57:13.892038	-0.006953	0.014160	1.003430
30/04/2024	19:57:13.900015	-0.006930	0.014172	1.003473
30/04/2024	19:57:13.907992	-0.006930	0.014359	1.003320
30/04/2024	19:57:13.915969	-0.006867	0.014086	1.003270
30/04/2024	19:57:13.923946	-0.006902	0.014160	1.003352
30/04/2024	19:57:13.931923	-0.006648	0.014172	1.003641
30/04/2024	19:57:13.939900	-0.006816	0.014133	1.003621
30/04/2024	19:57:13.947877	-0.007035	0.014137	1.003488
30/04/2024	19:57:13.955854	-0.007160	0.014176	1.003305
30/04/2024	19:57:13.963831	-0.006867	0.014172	1.003543
30/04/2024	19:57:13.971808	-0.006988	0.014133	1.003344
30/04/2024	19:57:13.979785	-0.006902	0.014172	1.003449
30/04/2024	19:57:13.987762	-0.006742	0.014180	1.003570
30/04/2024	19:57:13.995739	-0.006934	0.014176	1.003469
30/04/2024	19:57:14.003716	-0.007027	0.013887	1.003242
30/04/2024	19:57:14.011693	-0.006949	0.013848	1.003406
30/04/2024	19:57:14.019670	-0.006797	0.014102	1.003180
30/04/2024	19:57:14.027647	-0.006855	0.014008	1.003594
30/04/2024	19:57:14.035624	-0.006789	0.014238	1.003715
30/04/2024	19:57:14.043601	-0.006977	0.014055	1.003504
30/04/2024	19:57:14.051578	-0.006898	0.014102	1.003129
30/04/2024	19:57:14.059555	-0.006867	0.014297	1.003453
30/04/2024	19:57:14.067532	-0.006926	0.014297	1.003313
30/04/2024	19:57:14.075509	-0.006844	0.014051	1.003316
30/04/2024	19:57:14.083486	-0.006941	0.013934	1.003145
30/04/2024	19:57:14.091463	-0.006945	0.014238	1.003445
30/04/2024	19:57:14.099440	-0.006687	0.014188	1.003227
30/04/2024	19:57:14.107417	-0.006578	0.014133	1.003645
30/04/2024	19:57:14.115394	-0.006730	0.014305	1.003336
30/04/2024	19:57:14.123371	-0.007000	0.014188	1.003668
30/04/2024	19:57:14.131348	-0.006848	0.014188	1.003437
30/04/2024	19:57:14.139325	-0.006824	0.014152	1.003355
30/04/2024	19:57:14.147302	-0.006770	0.014102	1.002973
30/04/2024	19:57:14.155279	-0.006910	0.014121	1.003367
30/04/2024	19:57:14.163256	-0.006793	0.014352	1.003219
30/04/2024	19:57:14.171233	-0.007133	0.014234	1.003781
30/04/2024	19:57:14.179210	-0.007063	0.014379	1.003598
30/04/2024	19:57:14.187187	-0.006930	0.014305	1.003371
30/04/2024	19:57:14.195164	-0.007047	0.014102	1.003199
30/04/2024	19:57:14.203141	-0.006957	0.014184	1.003641
30/04/2024	19:57:14.211118	-0.006938	0.014234	1.002926
30/04/2024	19:57:14.219095	-0.006977	0.014047	1.003434
30/04/2024	19:57:14.227072	-0.006762	0.014125	1.003742
30/04/2024	19:57:14.235049	-0.006922	0.013965	1.003820
30/04/2024	19:57:14.243026	-0.006961	0.013918	1.002938
30/04/2024	19:57:14.251003	-0.006891	0.013828	1.003484
30/04/2024	19:57:14.258980	-0.007070	0.013949	1.003316
30/04/2024	19:57:14.266957	-0.006953	0.014031	1.003652
30/04/2024	19:57:14.274934	-0.006840	0.013945	1.003082
30/04/2024	19:57:14.282911	-0.006965	0.014004	1.003957
30/04/2024	19:57:14.290888	-0.006988	0.014117	1.003676
30/04/2024	19:57:14.298865	-0.006875	0.014109	1.003711
30/04/2024	19:57:14.306842	-0.006863	0.014008	1.003098
30/04/2024	19:57:14.314819	-0.006809	0.014070	1.003445
30/04/2024	19:57:14.322796	-0.006820	0.014051	1.003148
30/04/2024	19:57:14.330773	-0.006875	0.014055	1.003891
30/04/2024	19:57:14.338750	-0.007023	0.014137	1.003133
30/04/2024	19:57:14.346727	-0.006832	0.014266	1.003633
30/04/2024	19:57:14.354704	-0.006867	0.014199	1.003340
30/04/2024	19:57:14.362681	-0.006762	0.014176	1.003227
30/04/2024	19:57:14.370658	-0.006609	0.014129	1.003430
30/04/2024	19:57:14.378635	-0.006848	0.014160	1.003605
30/04/2024	19:57:14.386612	-0.006816	0.014148	1.003414
30/04/2024	19:57:14.394589	-0.006711	0.014133	1.003891
30/04/2024	19:57:14.402566	-0.006859	0.014266	1.003395
30/04/2024	19:57:14.410543	-0.006809	0.014195	1.003434
30/04/2024	19:57:14.418520	-0.006898	0.014242	1.003258
30/04/2024	19:57:14.426497	-0.006926	0.014203	1.003344
30/04/2024	19:57:14.434474	-0.006781	0.014266	1.003219
30/04/2024	19:57:14.442451	-0.006687	0.014215	1.003277
30/04/2024	19:57:14.450428	-0.006891	0.014348	1.003266
30/04/2024	19:57:14.458405	-0.006961	0.014148	1.003266
30/04/2024	19:57:14.466382	-0.007047	0.014215	1.003523
30/04/2024	19:57:14.474359	-0.006953	0.013957	1.003391
30/04/2024	19:57:14.482336	-0.006898	0.014145	1.003066
30/04/2024	19:57:14.490313	-0.006902	0.014152	1.003437
30/04/2024	19:57:14.498290	-0.006996	0.014352	1.003574
30/04/2024	19:57:14.506267	-0.006902	0.014109	1.003512
